Хүйс,Аймаг,Код,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Эмэгтэй,Улаанбаатар,5,,,,,,75.1,72.7,74.9,83.8,94.5,97.2,121.7,170.6,255.5,293.6,340.8,414.4,571.8,731.7,803.1,831.4,904,969.2,1014.6,1124.3,1193.4,1243.5,1464.5,1725.6,2103.9
Эмэгтэй,Улаанбаатар,511,,,,,,75.1,72.7,74.9,83.8,94.5,97.2,121.7,170.6,255.5,293.6,340.8,414.4,571.8,731.7,803.1,831.4,904,969.2,1014.6,1124.3,1193.4,1243.5,1464.5,1725.6,2103.9
Эрэгтэй,Улсын дүн,0,,,,,,64.7,69.2,76.3,86.9,98.3,110,138.1,186.7,291.2,322.6,370.4,470,593.1,860.5,859.7,856,913.9,1029.4,1100.3,1222.6,1326.2,1390.1,1642.8,2103.4,2576.9
Эрэгтэй,Баруун бүс,1,,,,,,62.4,58.1,65.4,77.9,90.3,96.6,119.8,162.9,258.8,274.6,281.6,348.5,464.8,589,586.7,600.4,608.5,633.1,655.3,754.3,860.5,890.1,988.4,1352.1,1864.2
Эрэгтэй,Баян-Өлгий,183,,,,,,52,53.9,59.4,71.7,84.9,94.8,103,145.4,240.3,258.1,267.3,344.3,434,571.1,564.8,593.1,587.1,607.4,610.1,722.4,812.1,832.7,908,1260,1781.9
Эрэгтэй,Говь-Алтай,182,,,,,,63.6,57.1,69,77.1,84.5,91.9,120.8,165.8,272.3,293.3,292.9,343.3,479.2,581.7,624.2,608,618.9,643.8,667.3,766.4,870.7,899.6,967,1336.8,1877.3
Эрэгтэй,Завхан,181,,,,,,59.1,58.2,65.4,77.3,95,97.7,137.8,171.2,271.4,273.7,270.4,379.8,517.1,581.7,575.1,576.9,610.3,636.2,673.9,780.5,911.4,906.6,1017.3,1445.7,1964.8
Эрэгтэй,Увс,185,,,,,,61.3,61.8,72.2,85.2,93.3,96.3,121.1,167.8,273.9,283.1,308.5,351.9,480.8,650.3,571.1,594.8,604.4,623.7,636.5,738.7,848.2,876.9,988.9,1371.8,1896
Эрэгтэй,Ховд,184,,,,,,78.6,62.5,63.4,74.4,92.5,101.5,122.7,169.3,250.1,266.9,272.8,337.1,439.4,565.2,604.1,627,625.6,658.2,695.2,771.2,875.3,935.3,1054,1371.9,1852.6
Эрэгтэй,Хангайн бүс,2,,,,,,59.3,64.7,71.1,83.8,96.7,111.1,131.7,181,277.4,303.2,332.2,426.5,581.3,680.7,846.7,832.1,862.3,858.7,947,1097.4,1242.2,1290.7,1510.8,1959.3,2551.6
Эрэгтэй,Архангай,265,,,,,,47.1,50.8,66.5,65.5,79.9,83.6,105.7,152.9,255.1,280.4,306.3,380.5,522.2,549.7,542.9,557.9,556.2,568.8,593.3,690.8,792.3,808.2,905.7,1245.6,1759.5
Эрэгтэй,Баянхонгор,264,,,,,,56,66.3,66.6,76.5,91.2,87.1,104.9,160.7,270.6,280.3,312,394.7,508,561.4,565,581.6,592.2,608.2,647.9,748.4,833.5,861.7,957.4,1307.7,1873.5
Эрэгтэй,Булган,263,,,,,,42.5,58.2,67.1,78.2,96.4,110.7,114.6,153,242.6,303.9,309.6,414.2,491.2,623.8,569,587.5,590.8,628.4,638.8,743.2,828.3,864.6,984.2,1395.5,1934.6
Эрэгтэй,Орхон,261,,,,,,75.6,83.6,86,110.6,116.4,139.6,161.2,221.1,315.5,352.4,404.1,530.1,745.2,835.8,1228.2,1302.3,1386.6,1283.4,1508,1769.3,2009.7,2112.3,2520.2,3122,3859.6
Эрэгтэй,Өвөрхангай,262,,,,,,62,48.7,67.3,65.6,87,87.8,108.2,140.9,237.5,265.4,287.2,345,485.3,604.9,547.3,548.9,568,605.4,629.2,742.1,846.5,858.4,1034.1,1374,1890.2
Эрэгтэй,Хөвсгөл,267,,,,,,54.3,51.7,53,60,74.8,76.9,111.5,152.5,248.8,268.2,266.4,311.2,410.4,602.5,550.8,562.4,568.2,602.6,621.4,725.3,829.4,845.9,939.2,1252.1,1754.3
Эрэгтэй,Төвийн бүс,3,,,,,,66.4,68,78.3,91.7,109,120.7,151.2,194.1,311.7,317.2,403.7,505.6,610.9,756.4,754.8,752,762.6,850.4,924.8,1067.1,1199,1272.5,1602.6,2114.6,2602.1
Эрэгтэй,Говьсүмбэр,342,,,,,,77.5,76.3,93.5,117.6,132.5,165.9,211.6,252.2,400.9,454.8,604.8,664.9,795.2,853.3,822.4,834.8,886.9,988.3,1038.9,1183.4,1316.8,1424.3,1699.1,2114,2642.1
Эрэгтэй,Дархан-Уул,345,,,,,,74,79.8,94.5,110.9,144,142.2,174.6,220,347.9,331.5,464.7,548,663.1,713,798.8,761.2,808.6,902.2,948.6,1077.8,1200.8,1281.4,1454.3,1887.9,2403.2
